0 -0 0 0.00977555 2.5619e-07 -2.16668e-05 0 2.49999 -0.00378746 0 0.0739558 -0.388116 -0 0 -0.304385 -785.398 -785.398 14.7906 -77.6219 0 0
0.01 -0 0 0.0426563 3.44144e-06 -6.91515e-05 0 2.4998 -0.0142549 0 0.252089 -1.42367 -0 0 -1.12893 -817.021 -619.44 20.8308 -129.478 0 0
0.02 -0 0 0.104493 1.41555e-05 -0.000112991 0 2.49914 -0.0298702 0 0.460613 -2.88805 -0 0 -2.32294 -831.226 -501.797 20.8612 -163.369 0 0
0.03 -0 0 0.198996 3.64244e-05 -0.000133192 0 2.49775 -0.0495376 0 0.648978 -4.62883 -0 0 -3.78085 -833.109 -418.037 16.792 -184.744 0 0
0.04 -0 0 0.32837 7.30251e-05 -0.000116407 0 2.49539 -0.0724648 0 0.782897 -6.54003 -0 0 -5.42876 -826.231 -358.077 9.96734 -197.445 0 0
0.05 -0 0 0.493749 0.000125666 -5.39833e-05 0 2.49192 -0.0980725 0 0.83955 -8.54845 -0 0 -7.21515 -813.106 -314.797 1.33682 -204.187 0 0
0.06 -0 0 0.695512 0.000195383 5.94081e-05 0 2.48722 -0.125931 0 0.804223 -10.604 -0 0 -9.10431 -795.524 -283.151 -8.42947 -206.881 0 0
0.07 -0 0 0.933503 0.000282913 0.000226758 0 2.48121 -0.155717 0 0.667903 -12.673 -0 0 -11.0716 -774.762 -259.571 -18.8616 -206.863 0 0
0.08 -0 0 1.20719 0.000388959 0.000449419 0 2.47385 -0.187177 0 0.425565 -14.7329 -0 0 -13.1001 -751.723 -241.552 -29.6325 -205.059 0 0
0.09 -0 0 1.51576 0.000514364 0.000727601 0 2.46507 -0.220109 0 0.0749536 -16.7689 -0 0 -15.1782 -727.05 -227.355 -40.5159 -202.1 0 0
0.1 -0 0 1.85822 0.000660194 0.00106072 0 2.45484 -0.254341 0 -0.384278 -18.7717 -0 0 -17.2978 -701.196 -215.784 -51.356 -198.414 0 0
0.11 -0 0 2.23345 0.000827771 0.00144762 0 2.44311 -0.289724 0 -0.951161 -20.7354 -0 0 -19.4532 -674.485 -206.026 -62.0456 -194.287 0 0
0.12 -0 0 2.64021 0.00101867 0.00188677 0 2.42985 -0.32612 0 -1.62382 -22.6567 -0 0 -21.6403 -647.15 -197.533 -72.5103 -189.909 0 0
0.13 -0 0 3.0772 0.0012347 0.00237633 0 2.41501 -0.363399 0 -2.39973 -24.5335 -0 0 -23.856 -619.363 -189.938 -82.6977 -185.404 0 0
0.14 -0 0 3.54305 0.00147784 0.00291424 0 2.39855 -0.401432 0 -3.27595 -26.365 -0 0 -26.0979 -591.255 -182.994 -92.5701 -180.854 0 0
0.15 -0 0 4.03633 0.00175023 0.00349826 0 2.38045 -0.440094 0 -4.24919 -28.1511 -0 0 -28.364 -562.932 -176.54 -102.1 -176.313 0 0
0.16 -0 0 4.55559 0.00205412 0.00412601 0 2.36066 -0.479258 0 -5.3159 -29.892 -0 0 -30.6524 -534.48 -170.465 -111.265 -171.814 0 0
0.17 -0 0 5.09933 0.0023918 0.00479496 0 2.33916 -0.518798 0 -6.47236 -31.5883 -0 0 -32.9613 -505.975 -164.694 -120.049 -167.381 0 0
0.18 -0 0 5.66603 0.00276559 0.00550247 0 2.31593 -0.558586 0 -7.71469 -33.2407 -0 0 -35.2893 -477.487 -159.175 -128.437 -163.03 0 0
0.19 -0 0 6.25412 0.00317775 0.0062458 0 2.29094 -0.598493 0 -9.03887 -34.8499 -0 0 -37.6347 -449.078 -153.87 -136.417 -158.77 0 0
0.2 -0 0 6.86204 0.00363049 0.00702209 0 2.26419 -0.63839 0 -10.4408 -36.4171 -0 0 -39.9959 -420.808 -148.749 -143.98 -154.609 0 0
0.21 -0 0 7.48819 0.00412591 0.00782841 0 2.23567 -0.678148 0 -11.9162 -37.9432 -0 0 -42.3712 -392.734 -143.786 -151.117 -150.554 0 0
0.22 -0 0 8.13096 0.00466596 0.00866172 0 2.20539 -0.717638 0 -13.4608 -39.4293 -0 0 -44.7592 -364.91 -138.962 -157.822 -146.609 0 0
0.23 -0 0 8.78874 0.0052524 0.00951893 0 2.17335 -0.756733 0 -15.0703 -40.8765 -0 0 -47.1581 -337.388 -134.255 -164.09 -142.778 0 0
0.24 -0 0 9.45992 0.00588679 0.0103969 0 2.13959 -0.795307 0 -16.7403 -42.286 -0 0 -49.5664 -310.216 -129.649 -169.917 -139.065 0 0
0.25 -0 0 10.1429 0.00657046 0.0112924 0 2.10413 -0.833239 0 -18.4664 -43.6589 -0 0 -51.9824 -283.437 -125.126 -175.303 -135.472 0 0
0.26 -0 0 10.836 0.00730449 0.0122022 0 2.067 -0.87041 0 -20.2441 -44.9965 -0 0 -54.4046 -257.094 -120.669 -180.249 -132.002 0 0
0.27 -0 0 11.5378 0.00808967 0.0131231 0 2.02825 -0.906706 0 -22.0691 -46.3 -0 0 -56.8313 -231.223 -116.264 -184.756 -128.657 0 0
0.28 -0 0 12.2466 0.00892652 0.0140519 0 1.98793 -0.942017 0 -23.937 -47.5707 -0 0 -59.2611 -205.856 -111.896 -188.831 -125.436 0 0
0.29 -0 0 12.961 0.00981528 0.0149853 0 1.94611 -0.976239 0 -25.8436 -48.8097 -0 0 -61.6923 -181.022 -107.553 -192.479 -122.34 0 0
0.3 -0 0 13.6794 0.0107559 0.0159201 0 1.90285 -1.00927 0 -27.7845 -50.0184 -0 0 -64.1235 -156.743 -103.224 -195.71 -119.368 0 0
